cuil;status
23366041664;3
27377288640;4
24265342899;4
20324827561;5
23361641884;4
23275075566;2
27262094273;3
23385621000;1
27282742522;2
30258488217;2
43362528462;2
50297986632;2
64352962519;2
67391811005;2
63204534901;2
60247286619;2
67292758461;2
64351611454;2
63252236068;2
64288626879;2
67203542957;2
63228137202;2
63294249909;1
63253076285;4
67282418034;3
60338383420;3
64289853942;4
64336026545;3
67350509213;1
60388838348;2
67270586810;2
63266567792;3
64385331388;4
67327304027;2
64218029580;5
63220661743;1
67214078985;4
63210757211;1
63368499562;4
63344245403;6
60398472686;5
67259358210;6
60274005591;2
60261794325;3
64220389314;5
63381607005;2
60309458853;1
64218543519;1
67349078802;1
64314716076;2
60394608583;6
60375000108;1
63212094219;4
67249302373;1
67258689549;2
63208394667;6
60270733355;6
64322515144;4
60267417795;4
63289891189;1
64359314297;6
63279074019;1
60340551365;5
64340239162;3
63329148752;2
64255381197;6
63340186828;1
63325290049;4
64394809118;2
60296650407;4
60246626734;2
64267040220;3
67203658548;6
64264357630;2
64286286907;2
64269167686;3
64356158579;5
60391990126;5
67351930788;2
64393830296;6
64290026197;6
67207797089;1
67206628720;1
63349877068;1
64398933751;3
67226540846;6
64266307699;5
60362288498;1
63247576772;2
67221009433;5
63388910471;3
60267709052;6
63349801827;4
63231076915;2
63305425169;6
64208270484;2
60377557851;5
67317237623;5
64250713051;6
63326611494;5
67376139309;4
67273690198;4
67355311909;6
60311545275;2
67269913883;4
63207821243;6
64297492150;6
63233058639;5
63336326364;1
67210889520;2
63242522925;4
67292726721;5
63211791693;2
63312190836;6
60278702777;6
64364508601;5
67311018199;2
64233688132;1
63307897654;4
64268852164;1
67232139606;3
63321742264;2
67308222214;5
64203494597;5
67340426433;1
60256089036;3
60275034969;5
64371552942;6
67202373531;6
64263353895;4
67371524549;3
64312297955;4
60251681409;3
64275570980;1
63374498519;1
63230687422;2
67226147257;3
64209553021;5
64241541973;4
64373349613;2
64263320619;4
64209345275;1
60307945641;2
64330977130;3
64315755899;2
64267629819;5
67384861714;3
60229379979;6
67319031895;4
63305897991;5
67254549319;1
67392247269;1
67396724216;3
60280252419;5
60279160153;2
60292525810;1
60354752533;4
63327180888;4
60317888492;1
63338098423;3
64290953349;3
63217003599;2
63342597159;3
60256340065;3
64210730263;3
60284622505;1
67359651896;6
67250584323;3
63371071573;3
63358065637;1
67336490445;5
63276722443;6
60270657837;1
64230920336;4
67217513283;5
67375210840;2
63377325445;1
63344505308;3
64345698343;6
60211898472;2
67239421234;2
60219211662;6
67274226789;3
64344332175;3
60370776728;5
67243238657;4
67257693535;5
60200480530;3
60398277654;3
67206764403;6
63339100596;1
64237129332;6
67322592946;2
64354149050;4
64321206121;2
64295817567;2
64297024904;4
64390305573;1
60358101065;1
63385166959;3
64204868008;4
64359404857;1
60222043940;4
63321376179;1
